PROT_SDI,COD_COLP_DA_PROVV,SEX_COLP_PROVV,ETA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV_ISO
BRPC022024000160,20211201183901028629,MASCHIO,56,ITALIA,ITA
BRPC022025000038,20230705120953397638,MASCHIO,19,GUINEA,GIN
BRPQ302024000033,20011222075539088980,MASCHIO,41,ITALIA,ITA
BSCC042024000079,20100420095620710343,MASCHIO,42,ITALIA,ITA
BSCC102023000144,20160806152858491606,MASCHIO,43,ITALIA,ITA
BSCC102024000099,19970213183145553943,MASCHIO,52,ITALIA,ITA
BSCC102024000099,20240804130726007562,MASCHIO,52,ITALIA,ITA
BSCS012024000023,20240425162744155966,MASCHIO,18,ITALIA,ITA
BSCS032024000023,20240427191641717836,MASCHIO,19,ITALIA,ITA
BSCS072024850159,20160319114112545714,MASCHIO,27,ITALIA,ITA
BSCS092024000048,20011103150046082880,MASCHIO,52,ITALIA,ITA
BSCS092024000060,20151109162517825194,MASCHIO,27,ITALIA,ITA
BSCS092024000102,20161013134622974161,MASCHIO,72,ITALIA,ITA
BSCS112024000130,20150905012756022892,MASCHIO,50,SRI LANKA (CEYLON),LKA
BSCS122024000007,20111114162745614346,MASCHIO,43,MAROCCO,MAR
BSCS122024000088,20051116175337799565,MASCHIO,44,INDIA,IND
BSCS132024000004,20060310124710774184,MASCHIO,57,ITALIA,ITA
BSCS152024000047,20080126165551525508,MASCHIO,49,ROMANIA,ROU
BSCS172024000022,20060427122012297320,FEMMINA,34,ALBANIA,ALB
BSCS202024000054,19961010150240067958,MASCHIO,58,MAROCCO,MAR
BSCS202024850270,19940215144749012767,MASCHIO,47,ITALIA,ITA
BSCS222024850565,20110730151320940630,MASCHIO,29,ITALIA,ITA
BSCS242023000180,20171201104333067997,MASCHIO,21,ITALIA,ITA
BSCS242024000130,,NON INDICATO,,,
BSCS262024000004,20211214123242346314,MASCHIO,28,MAROCCO,MAR
BSCS272024000010,20120716124616891478,MASCHIO,35,INDIA,IND
BSCS272024000014,20070409013617062673,MASCHIO,42,ITALIA,ITA
BSCS272024000088,20240502233709862338,MASCHIO,17,ITALIA,ITA
BSCS282024800022,20020406170828298002,MASCHIO,67,GHANA,GHA
BSCS322023000036,19940908152432030003,MASCHIO,47,ITALIA,ITA
BSCS322024000044,20020312144807472928,MASCHIO,50,ITALIA,ITA
BSCS352024000004,19900227103530839342,MASCHIO,54,ITALIA,ITA
BSCS352024000045,20051110162450219944,MASCHIO,49,ITALIA,ITA
BSCS352024000115,20060911183952274730,MASCHIO,34,ITALIA,ITA
BSCS362024000085,20160926122549051440,MASCHIO,39,AFGHANISTAN,AFG
BSCS412024000003,20080307021758292245,MASCHIO,51,MAROCCO,MAR
BSCS422023000114,20080210091122996622,MASCHIO,38,ROMANIA,ROU
BSCS482024000031,20040428025420524950,MASCHIO,40,ITALIA,ITA
BSCS592023000110,20110205015140966600,MASCHIO,70,ITALIA,ITA
BSCS592024000051,20071022205829167035,MASCHIO,31,ITALIA,ITA
BSCS592024000071,20241016185037323393,FEMMINA,61,ITALIA,ITA
BSCS592024000088,20180113093223897398,MASCHIO,46,ROMANIA,ROU
BSCS612024000018,20110605235411344891,FEMMINA,32,ITALIA,ITA
BSCS622024000015,20080107073644629015,FEMMINA,41,ITALIA,ITA
BSCS622024000054,20121129070857368364,MASCHIO,29,ITALIA,ITA
BSCS622024000070,20170703103540753409,MASCHIO,36,UCRAINA,UKR
BSCS662024000160,20240816111943590075,MASCHIO,30,GUATEMALA,GTM
